abatement|n |减少,减轻||||
abbreviate|v|缩短,缩写||||
aberrant|a|越轨的,反常的||||
aberration|n |越轨||||
abet|v|鼓励|教唆|帮助||
abeyance|n |搁置||||
abhor|v|憎恨||||
ablaze|a|燃烧的|闪耀的|||
abolition|n |废除,废止||||
abrasive|a|研磨的||||
abreast|a|并排的||||
abridge|v|删减,缩短||||
absent|v|缺席||||
abstain|v|禁绝|放弃|||
abstract|n |摘要|a|抽象的||
abstruse|a|难懂的,深奥的||||
absurd|a|荒谬的,可笑的||||
abut|v|邻接,毗邻||||
abysmal|a|极深的|糟透的|||
academic|a|学术的|理论的|学院的||
accede|v|同意||||
accelerate|v|加速|促进|||
accentuate|v|强调|重读|||
accessible|a|易接近的|易受影响的|||
accidental|a|偶然发生的||||
accommodate|v|提供住宿|与…一致|顺应,使适应||
accompany|v|陪伴||||
accomplice|n |共犯,共谋||||
accomplish|v|完成||||
accredit|v|授权||||
accuracy|n |准确,精确||||
accuse|v|谴责,指责|指控|||
accustom|v|使习惯||||
acerbic|a|尖酸的,刻薄的||||
acidic|a|酸的,酸性的||||
acknowledge|v|承认|致谢|||
acolyte|n |侍僧||||
acoustic|a|听觉的,声音的||||
acquiesence|n|默许||||
acquiescent|a|默认的||||
acrimonious|a|尖酸刻薄的|激烈的|||
acrimony|n|尖酸,刻薄||||
activate|v|刺激|使活动|||
acute|a|敏锐的|急性的|||
adamant|a|固执的|顽固的|强硬的||
adaptability|n|适应性||||
adaptable|a|有适应力的|可改编的|||
adaptive|a|适应的||||
addict|v|上瘾||||
address|v|处理|致辞|||
adept|a|熟练的,擅长的||||
adequate|a|充足的||||
adhere|v|粘着|坚持|||
adhesive|a|有粘性的|n|黏合剂||
admonish|v|警告,训诫||||
adopt|v|收养|采纳|正式接受||
adore|v|崇拜|爱慕|||
adoration|n|崇拜|爱慕|||
adorn|v|装饰||||
adulation|n|奉承,谄媚||||
adulatory|a|奉承的||||
adumbrate|v|预示||||
advantage|v|有利于|n|优点,利处||
adventurous|a|爱冒险的|充满危险的|||
adversary|n|敌手,对手||||
adverse|a|不利的|相反的|||
adversity|n|逆境||||
advertise|v|做广告|通知|||
advocacy|n|拥护,支持||||
aesthetic|a|美学的,审美的||||
aesthetically|ad|审美地||||
affable|a|和蔼的,友善的||||
affection|n|喜爱||||
affectionate|a|亲爱的||||
affective|a|感情的,表达感情||||
affinity|n|相互吸引|相似一致|||
affirmation|n|断言|肯定|||
afflict|v|折磨||||
affluent|a|富有的|丰富的|||
affordable|a|负担得起的||||
affront|v|侮辱,冒犯||||
aggrandize|v|增大,扩张|吹捧|||
aggravate|v|加重,恶化||||
aggressive|a|有攻击型的|有进取心的|||
aghast|a|骇人的,恐怖的||||
agility|n|敏捷||||
agitate|v|鼓动,煽动|使焦虑使不安|||
agitation|n|焦虑,不安|公开辩论|鼓动宣传||
agony|n|极大的痛苦||||
agoraphobic|n|患旷野恐惧症的人||||
agrarian|a|土地的||||
airborne|a|空运的,空降的|空气传播的 |||
akin|a|同族的|类似的|||
alienate|v|疏远,离间||||
alienation|n|疏远,离间||||
allegiance|n|拥护,忠诚||||
allegory|n|寓言||||
allot|v|分配|拨出|||
alloy|n|合金||||
allude|v|暗指,影射|间接提到|||
allure|v|引诱||||
allusion|n|暗指,影射|间接提到|||
allusive|a|暗指的,影射的|间接提到的|||
ally|v|使联盟|n|联盟||
aloof|a|远离的|冷淡冷漠的|||
also-ran|n|失败者|不重要的候选人|||
alternate|a|轮流的,交替的|n|候选人,代替者|v|轮流,交替
alternative|a|二选一的|轮流的,交替的|||
altruism|n|利他主义|无私|||
amalgam|n|混合物||||
amateur|n|业余爱好者||||
amaze|v|使惊奇||||
ambidextrous|a|十分灵巧的||||
ambiguity|n|模棱两可的话||||
ambiguous|a|模棱两可的话||||
ambitious|a|有野心的,有抱负的||||
ambivalent|a|有矛盾看法的||||
amble|v|漫步||||
ameliorate|v|改善,改良||||
amenable|a|顺从的||||
amend|v|改善改良||||
amendment|n|改善改良|修正案|||
amiability|n|友好友善||||
amiacable|a|友善的||||
amiacably|ad|友善地||||
amorphous|a|无定型的||||
anachronistic|a|时代错误的||||
anaerobic|a|厌氧的|n|厌氧微生物||
analogous|a|相似的,可比拟的||||
anarchy|n|无政府|政治混乱|||
anathema|n|被诅咒的人|诅咒|||
anatomical|a|解剖的||||
ancester|n|祖宗||||
ancestral|a|祖先的|祖传的|||
anecdotal|a|轶事的|趣闻的|||
angular|a|角的|笨拙的|||
animated|a|活生生的,生动的||||
animosity|n|憎恨,仇恨||||
annex|v|兼并|附加|||
annotate|v|注解||||
anomalous|a|反常的|不协调的|||
anomaly|n|异常,反常||||
antagonism|n|对抗||||
antagonistic|a|敌对的|对抗性的|||
antagonize|v|使敌对||||
antecedent|n|前事|先例|||
antedate|v|早于||||
anterior|a|较早的,以前的||||
antibiotic|a|抗菌的|n|抗生素||
